Marketing Name,Product Code,Code,Product Type,Color Description,First Offer Date,Primary,Secondary,Accent,Match to Garment,Light Tonal,Dark Tonal,Neutral,Green,Match to Swoosh,Notes,Secondary Palette Title,Primary2,Secondary2,Accent2,Match to Garment2,Light Tonal2,Dark Tonal2,Neutral2,Green2,Match to Swoosh2,@Front Image,@Back Image
TOURNAMENT SKORT,742875-512,512,"B28 BLL, BRL, BRP, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742875-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742875-512-LASBH001.PNG
BERMUDA TOURNAMENT SHORT,747135-512,512,"B28 BLL, BRL, BRP, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-512-LASBH001.PNG
BERMUDA TOURNAMENT SHORT,747135-607,607,"B28 BLL, BRL, BRP, BLP, ABLP",SPORT FUCHSIA/(SPORT FUCHSIA),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,1183M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-607-LASBH001.PNG
TOURNAMENT SHORT,725771-021,21,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",DARK GREY/(DARK GREY),1/1/17,2297R,2296R,1041M,0943C,1041M,2296R,1062M,1250M,0943C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-021-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-021-LASBH001.PNG
TOURNAMENT SHORT,725771-432,432,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",VIVID SKY/(VIVID SKY),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,1289M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-432-LASBH001.PNG
TOURNAMENT SHORT,725771-512,512,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-512-LASBH001.PNG
TOURNAMENT SHORT,725771-607,607,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",SPORT FUCHSIA/(SPORT FUCHSIA),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,1183M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-607-LASBH001.PNG
TOURNAMENT SHORT,725771-852,852,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",MAX ORANGE/(MAX ORANGE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2420R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-852-LASBH001.PNG
TOURNAMENT SHORT,725771-856,856,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",BRIGHT MANDARIN/(BRTMAN),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2330R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-856-LASBH001.PNG
TOURNAMENT KNIT SKORT,726172-432,432,"B37S BRL, BRP, BLP, ABLP, IAP",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-432-LASBH001.PNG
